Testing 1000 samples...
====================================================================================================
✅ A2020-EM-01-0052: Labels match (932 epochs, FPS=4.995)

✅ A2020-EM-01-0053: Labels match (819 epochs, FPS=4.995)

✅ A2020-EM-01-0054: Labels match (720 epochs, FPS=4.995)

✅ A2020-EM-01-0056: Labels match (826 epochs, FPS=4.930555555555555)

✅ A2020-EM-01-0057: Labels match (987 epochs, FPS=4.995)

✅ A2020-EM-01-0058: Labels match (903 epochs, FPS=4.995)

✅ A2020-EM-01-0060: Labels match (755 epochs, FPS=4.986111111111111)

✅ A2020-EM-01-0061: Labels match (794 epochs, FPS=4.995)

✅ A2020-EM-01-0064: Labels match (754 epochs, FPS=5.0)

✅ A2020-EM-01-0065: Labels match (845 epochs, FPS=4.958333333333333)

✅ A2020-EM-01-0066: Labels match (1002 epochs, FPS=4.995)

✅ A2020-EM-01-0068: Labels match (842 epochs, FPS=4.995)

✅ A2020-EM-01-0069: Labels match (811 epochs, FPS=4.930555555555555)

✅ A2020-EM-01-0070: Labels match (797 epochs, FPS=4.995)

✅ A2020-EM-01-0075: Labels match (949 epochs, FPS=4.995)

✅ A2020-EM-01-0076: Labels match (783 epochs, FPS=4.958333333333333)

✅ A2020-EM-01-0077: Labels match (877 epochs, FPS=4.995)

✅ A2020-EM-01-0078: Labels match (806 epochs, FPS=4.995)

✅ A2020-EM-01-0079: Labels match (797 epochs, FPS=4.958333333333333)

✅ A2020-EM-01-0080: Labels match (796 epochs, FPS=4.944444444444445)

✅ A2020-EM-01-0081: Labels match (855 epochs, FPS=4.995)

✅ A2020-EM-01-0082: Labels match (882 epochs, FPS=4.995)

✅ A2020-EM-01-0083: Labels match (778 epochs, FPS=4.995)

✅ A2020-EM-01-0084: Labels match (840 epochs, FPS=4.944444444444445)

✅ A2020-EM-01-0085: Labels match (781 epochs, FPS=4.995)

✅ A2020-EM-01-0086: Labels match (768 epochs, FPS=4.958333333333333)

✅ A2020-EM-01-0087: Labels match (813 epochs, FPS=4.995)

✅ A2020-EM-01-0088: Labels match (942 epochs, FPS=4.995)

✅ A2020-EM-01-0090: Labels match (934 epochs, FPS=4.995)

✅ A2020-EM-01-0093: Labels match (838 epochs, FPS=4.995)

✅ A2020-EM-01-0096: Labels match (917 epochs, FPS=4.958333333333333)

✅ A2020-EM-01-0097: Labels match (716 epochs, FPS=4.995)

✅ A2020-EM-01-0098: Labels match (788 epochs, FPS=4.995)

✅ A2020-EM-01-0099: Labels match (834 epochs, FPS=4.995)

✅ A2020-EM-01-0100: Labels match (953 epochs, FPS=4.944444444444445)

✅ A2020-EM-01-0102: Labels match (775 epochs, FPS=4.995)

✅ A2020-EM-01-0103: Labels match (919 epochs, FPS=4.958333333333333)

✅ A2020-EM-01-0104: Labels match (894 epochs, FPS=4.986111111111111)

✅ A2020-EM-01-0105: Labels match (812 epochs, FPS=4.995)

✅ A2020-EM-01-0106: Labels match (840 epochs, FPS=4.958333333333333)

✅ A2020-EM-01-0107: Labels match (881 epochs, FPS=4.986111111111111)

✅ A2020-EM-01-0110: Labels match (748 epochs, FPS=4.995)

✅ A2020-EM-01-0112: Labels match (806 epochs, FPS=4.995)

✅ A2020-EM-01-0113: Labels match (787 epochs, FPS=4.930555555555555)

✅ A2020-EM-01-0115: Labels match (863 epochs, FPS=5.0)

✅ A2020-EM-01-0116: Labels match (1073 epochs, FPS=4.986111111111111)

✅ A2020-EM-01-0117: Labels match (881 epochs, FPS=4.995)

✅ A2020-EM-01-0118: Labels match (785 epochs, FPS=4.995)

✅ A2020-EM-01-0119: Labels match (775 epochs, FPS=4.995)

✅ A2020-EM-01-0120: Labels match (796 epochs, FPS=4.995)

✅ A2020-EM-01-0121: Labels match (919 epochs, FPS=4.972222222222222)

✅ A2020-EM-01-0122: Labels match (704 epochs, FPS=4.995)

✅ A2020-EM-01-0123: Labels match (876 epochs, FPS=4.995)

✅ A2020-EM-01-0124: Labels match (768 epochs, FPS=5.0)

✅ A2020-EM-01-0125: Labels match (794 epochs, FPS=4.995)

✅ A2020-EM-01-0126: Labels match (754 epochs, FPS=4.986111111111111)

✅ A2020-EM-01-0128: Labels match (870 epochs, FPS=4.995)

✅ A2020-EM-01-0129: Labels match (782 epochs, FPS=4.995)

✅ A2020-EM-01-0130: Labels match (837 epochs, FPS=4.995)

✅ A2020-EM-01-0131: Labels match (784 epochs, FPS=4.995)

✅ A2020-EM-01-0132: Labels match (785 epochs, FPS=4.972222222222222)

✅ A2020-EM-01-0133: Labels match (814 epochs, FPS=5.0)

✅ A2020-EM-01-0136: Labels match (866 epochs, FPS=4.944444444444445)

✅ A2020-EM-01-0137: Labels match (848 epochs, FPS=4.995)

✅ A2020-EM-01-0138: Labels match (787 epochs, FPS=5.0)

✅ A2020-EM-01-0140: Labels match (740 epochs, FPS=4.995)

✅ A2020-EM-01-0141: Labels match (894 epochs, FPS=4.995)

✅ A2020-EM-01-0142: Labels match (755 epochs, FPS=4.995)

✅ A2020-EM-01-0147: Labels match (721 epochs, FPS=4.995)

✅ A2020-EM-01-0148: Labels match (897 epochs, FPS=4.995)

✅ A2020-EM-01-0149: Labels match (933 epochs, FPS=4.995)

✅ A2020-EM-01-0150: Labels match (850 epochs, FPS=4.986111111111111)

✅ A2020-EM-01-0151: Labels match (837 epochs, FPS=4.995)

✅ A2020-EM-01-0152: Labels match (841 epochs, FPS=4.944444444444445)

✅ A2020-EM-01-0154: Labels match (1075 epochs, FPS=5.0)

✅ A2020-EM-01-0156: Labels match (761 epochs, FPS=5.0)

✅ A2020-EM-01-0160: Labels match (748 epochs, FPS=4.986111111111111)

✅ A2020-EM-01-0163: Labels match (853 epochs, FPS=4.995)

✅ A2020-EM-01-0164: Labels match (795 epochs, FPS=4.995)

✅ A2020-EM-01-0168: Labels match (928 epochs, FPS=4.986111111111111)

✅ A2020-EM-01-0171: Labels match (744 epochs, FPS=4.995)

✅ A2020-EM-01-0172: Labels match (875 epochs, FPS=4.986111111111111)

✅ A2020-EM-01-0180: Labels match (762 epochs, FPS=4.995)

✅ A2020-EM-01-0181: Labels match (800 epochs, FPS=4.995)

✅ A2020-EM-01-0182: Labels match (957 epochs, FPS=4.995)

✅ A2020-EM-01-0183: Labels match (817 epochs, FPS=4.995)

✅ A2020-EM-01-0184: Labels match (959 epochs, FPS=4.930555555555555)

✅ A2020-EM-01-0185: Labels match (830 epochs, FPS=4.972222222222222)

✅ A2020-EM-01-0186: Labels match (782 epochs, FPS=4.995)

✅ A2020-EM-01-0187: Labels match (838 epochs, FPS=4.995)

✅ A2020-EM-01-0189: Labels match (796 epochs, FPS=4.995)

✅ A2020-EM-01-0190: Labels match (768 epochs, FPS=4.995)

✅ A2020-EM-01-0191: Labels match (844 epochs, FPS=4.995)

✅ A2020-EM-01-0192: Labels match (991 epochs, FPS=5.0)

✅ A2020-EM-01-0195: Labels match (893 epochs, FPS=4.995)

✅ A2020-EM-01-0196: Labels match (870 epochs, FPS=4.995)

✅ A2020-EM-01-0197: Labels match (897 epochs, FPS=4.995)

✅ A2020-EM-01-0198: Labels match (876 epochs, FPS=4.995)

✅ A2020-EM-01-0202: Labels match (854 epochs, FPS=4.995)

✅ A2020-EM-01-0206: Labels match (811 epochs, FPS=5.0)

✅ A2020-EM-01-0207: Labels match (779 epochs, FPS=4.995)

✅ A2020-EM-01-0208: Labels match (790 epochs, FPS=4.986111111111111)

✅ A2020-EM-01-0209: Labels match (1076 epochs, FPS=4.995)

✅ A2020-EM-01-0210: Labels match (895 epochs, FPS=4.995)

✅ A2020-EM-01-0211: Labels match (804 epochs, FPS=4.995)

✅ A2020-EM-01-0212: Labels match (970 epochs, FPS=4.995)

✅ A2020-EM-01-0213: Labels match (956 epochs, FPS=4.930555555555555)

✅ A2020-EM-01-0214: Labels match (847 epochs, FPS=4.995)

✅ A2020-EM-01-0215: Labels match (784 epochs, FPS=5.0)

